replicate,total_score,rmsd_ca_to_input_trace
1,959.293003,2.682700
2,987.195693,2.780334
3,939.262675,2.751938
4,1000.666742,2.527084
5,984.513628,2.767352
6,941.758380,2.642456
7,1082.632626,2.832890
8,928.214092,2.666576
9,998.851627,2.857202
10,982.625792,2.758359
11,1009.955199,2.837151
12,944.714019,2.616291
13,1038.453659,2.853774
14,1097.069856,2.820407
15,1006.572770,2.745021
16,1091.450795,2.478362
17,1132.641399,2.621914
18,929.342406,2.672457
19,957.132414,2.689889
20,991.151413,2.765775
