t,score,contact_f1,dist_rmse,auric_penalty,ph_rms,ph_max,tp,fp,fn,seed,codec,beam,K,cutoff,min_sep,auric_m,auric_every,w_contact,w_rmse,wA,wB
1,0.0,0.0,0.0,0.0,3.2482080257546335,3.2482080257546335,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
2,0.0,0.0,0.0,0.0,2.8159322229833643,3.316419866050723,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
3,0.0,0.0,0.0,0.0,3.306915880712176,3.8685605574086717,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
4,-2.5494359959089135,0.0,2.5494359959089135,0.0,5.092915916273474,8.29198128713435,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
5,-1.6310923062067209,0.0,1.6310923062067209,0.0,3.825027054454491,6.1289526757564605,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
6,-1.3576698557725018,0.0,1.3576698557725018,0.0,6.273506627980917,8.055829834854526,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
7,-1.1774100601315896,0.0,1.1774100601315896,0.0,6.129443034157125,9.021437793094195,0,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
8,-0.16504538776480526,1.0,1.1650453877648053,0.0,4.9460191410768335,9.481010323509693,2,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
9,-0.11731909261416362,1.0,1.1173190926141636,0.0,6.233580813023767,8.600419832163052,5,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
10,-0.08874422002531751,1.0,1.1493391668931985,-0.060594946867880965,8.407479451900416,13.738365564825326,6,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
11,-0.21359826523878184,0.9333333333333333,1.2075265454399962,-0.060594946867880965,7.063811733471432,10.9697068587145,7,1,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
12,-0.20681076895047928,0.9411764705882353,1.2085821864065955,-0.060594946867880965,9.78028919056,15.560881542984596,8,1,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
13,-0.2193402993941682,1.0,1.1062510499416511,0.11308924945251705,7.95050143849479,11.996863394506818,9,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
14,-0.21711561664199824,0.9090909090909091,1.1868014726007883,-0.060594946867880965,11.565243912467514,19.15469326675353,10,2,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
15,-0.27187759661743405,1.0,1.090447549910678,0.18143004670675597,7.883833915821034,11.305605096685245,11,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
16,-0.23030554620173602,1.0,1.04887549949498,0.18143004670675597,7.8091847040954905,11.272399775944786,12,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
17,-0.21258984873245532,1.0,1.0311598020256993,0.18143004670675597,7.704079389978637,11.103225993855187,13,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
18,-0.19446465612861782,1.0,1.0130346094218619,0.18143004670675597,7.5320433671183284,11.173188656263836,13,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
19,-0.21654337920322517,1.0,1.0351133324964692,0.18143004670675597,7.783969621121974,11.287966354960096,14,0,0,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
20,-0.28476799901016564,0.967741935483871,1.00409359684376,0.24841633765027654,9.57120712795322,16.00581260820488,15,0,1,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
21,-0.3015779940066938,0.9696969696969697,1.022858626053387,0.24841633765027654,9.438600805166002,14.25154889332615,16,0,1,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
22,-0.27634597034997793,0.9714285714285714,0.9993582041282728,0.24841633765027654,9.686277151910959,14.061696446540413,17,0,1,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
23,-0.2970717334532876,0.9714285714285714,1.0200839672315825,0.24841633765027654,9.884683600923404,14.399481276996703,17,0,1,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
24,-0.31846210256021634,0.972972972972973,1.0289010908240892,0.26253398470910017,8.786217562731258,14.18725968911272,18,0,1,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
25,-0.556872392550346,0.9583333333333334,1.1141642049877938,0.4010415208958856,8.068774768160411,12.705720733681153,23,1,1,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
26,-0.6192078511341736,0.9411764705882353,1.1593428008265234,0.4010415208958856,8.315897213381236,13.106800401615104,24,1,2,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
