t,score,contact_f1,dist_rmse,auric_penalty,ph_rms,ph_max,tp,fp,fn,seed,codec,beam,K,cutoff,min_sep,auric_m,auric_every,w_contact,w_rmse,wA,wB
1,0.0,0.0,0.0,0.0,3.234278740355646,3.234278740355646,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
2,0.0,0.0,0.0,0.0,2.803856665233633,3.302198067923628,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
3,0.0,0.0,0.0,0.0,3.2927348385105515,3.851971015217976,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
4,-1.9609390154259998,0.0,1.9609390154259998,0.0,5.071075972911368,8.256422796743415,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
5,-1.4012698820230693,0.0,1.4012698820230693,0.0,4.615992497009097,7.21976570625277,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
6,-1.1693582192082097,0.0,1.1693582192082097,0.0,4.786321385694119,7.315346015897166,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
7,-1.0572020520778782,0.0,1.0572020520778782,0.0,4.537396682138142,7.341834899895071,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
8,-0.9636016823785576,0.0,0.9636016823785576,0.0,4.631078812868333,7.313400816964627,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
9,-0.8649054484580037,0.0,0.8649054484580037,0.0,6.737946617054969,11.147882828264798,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
10,-1.0650458287821165,0.0,0.7918033232566823,0.2732425055254341,5.112791028852533,8.831145398706797,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
11,-1.0130853578801413,0.0,0.7398428523547073,0.2732425055254341,5.151876701458915,8.241010874162816,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
12,-0.9745575913404401,0.0,0.701315085815006,0.2732425055254341,5.628337973664639,9.280970403386672,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
