t,score,contact_f1,dist_rmse,auric_penalty,ph_rms,ph_max,tp,fp,fn,seed,codec,beam,K,cutoff,min_sep,auric_m,auric_every,w_contact,w_rmse,wA,wB
1,0.0,0.0,0.0,0.0,3.2452004041483984,3.2452004041483984,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
2,0.0,0.0,0.0,0.0,2.813324859622278,3.3133490848798752,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
3,0.0,0.0,0.0,0.0,3.303853899590902,3.864978531188295,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
4,-2.42525354923486,0.0,2.42525354923486,0.0,5.088200219548672,8.284303471588073,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
5,-1.92458255195718,0.0,1.92458255195718,0.0,4.631579996470153,7.244145748925735,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
6,-1.6909682801132704,0.0,1.6909682801132704,0.0,4.567388600062691,7.393138549257128,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
7,-1.5439325343384998,0.0,1.5439325343384998,0.0,7.132374059409504,11.6183193980957,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
8,-1.4354307396989796,0.0,1.4354307396989796,0.0,4.897418222451563,8.013803871204841,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
9,-1.3386898798948192,0.0,1.3386898798948192,0.0,4.862335449960305,8.951080692072802,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
10,-1.3791044528324172,0.0,1.2660152033799001,0.11308924945251705,5.767077699176112,9.06591639210855,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
11,-1.3284253529233794,0.0,1.2153361034708623,0.11308924945251705,5.041674206603245,8.132066164729325,0,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
12,-0.28844631563135237,1.0,1.1753570661788353,0.11308924945251705,4.897274173610474,8.113503251112002,1,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
13,-0.2587718419592442,1.0,1.145682592506727,0.11308924945251705,4.841304962863974,7.990355835476071,1,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
14,-0.21466730441479284,1.0,1.1015780549622758,0.11308924945251705,4.885600989182651,8.339450560917106,1,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
15,-0.17811771676272478,1.0,1.0650284673102077,0.11308924945251705,5.083821486076746,8.706641083093574,3,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
16,-0.15005952504080253,1.0,1.0369702755882855,0.11308924945251705,5.198048575840068,9.101872030769469,4,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
17,-0.12253705309294924,1.0,1.0094478036404322,0.11308924945251705,5.676303466493245,10.673833371865104,5,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
18,-0.09861265421553597,1.0,0.9855234047630189,0.11308924945251705,5.777304252460449,10.358515888061037,6,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
19,-0.1054184600999983,1.0,0.9923292106474813,0.11308924945251705,6.705220224881843,10.970946967655644,7,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
20,-0.3368070813758302,1.0,0.9762022975825471,0.36060478379328315,5.767626467623188,10.064838824011794,8,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
21,-0.33321981349528124,1.0,0.9726150297019981,0.36060478379328315,5.760154787808679,10.042019558579627,9,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
22,-0.3301274167075881,1.0,0.969522632914305,0.36060478379328315,5.688295007607205,9.931573527922529,10,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
23,-0.3276140855985546,1.0,0.9717151841582127,0.3558989014403419,6.72986137218265,10.859984413620008,11,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
24,-0.32519862101881264,1.0,0.9645938372255295,0.36060478379328315,6.850970788755566,12.105942416744151,13,0,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
25,-0.360204950456079,0.967741935483871,0.9673421021466668,0.36060478379328315,6.870778642152469,12.300584880968492,15,1,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
26,-0.37265125356756185,0.9696969696969697,0.9817434394712484,0.36060478379328315,9.167574458366458,16.220996488044563,16,1,0,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
27,-0.4192186811199122,0.9444444444444444,1.0030583417710734,0.36060478379328315,7.2210913042977145,12.736623702202795,17,1,1,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
28,-0.4272419370657106,0.9444444444444444,1.011081597716872,0.36060478379328315,7.380746498103822,12.407699164612106,17,1,1,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
29,-0.4329718150441377,0.9473684210526315,1.019735452303486,0.36060478379328315,7.4409730578042845,12.29598102472011,18,1,1,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
30,-0.6201613833357161,0.9387755102040817,1.0473777094300258,0.511559184109772,8.454631021347419,19.384290463185653,23,2,1,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
31,-0.6508201846196872,0.9259259259259259,1.06004591243468,0.5167001981109332,8.475809400990505,15.056482445873476,25,3,1,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
32,-0.6658516789593237,0.9056603773584906,1.0496121915338041,0.5218998647840102,8.073718505243573,13.86748200137624,24,2,3,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
33,-0.6677256918640411,0.9090909090909091,1.05491673617094,0.5218998647840102,8.070138760586328,14.09259001221737,25,2,3,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
34,-0.6665852001605043,0.9142857142857143,1.02302635184552,0.5578445626006985,7.928707702795885,13.02300069992401,32,3,3,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
35,-0.6754893846290381,0.9090909090909091,1.0267357311192487,0.5578445626006985,7.857748512399123,13.143486296787698,35,4,3,0,pair72,64,32,8.0,3,8,10,1.0,1.0,0.2,0.2
