pdb_id,status,path,url,chain,N,selected
1YO1,cached_selected,data/raw/pdb_cache/1YO1.cif,https://files.rcsb.org/download/1YO1.cif,A,258,1
1WY0,cached_selected,data/raw/pdb_cache/1WY0.cif,https://files.rcsb.org/download/1WY0.cif,A,327,1
1I9A,cached_selected,data/raw/pdb_cache/1I9A.cif,https://files.rcsb.org/download/1I9A.cif,A,178,1
1KJN,cached_selected,data/raw/pdb_cache/1KJN.cif,https://files.rcsb.org/download/1KJN.cif,A,152,1
1R2T,cached_selected,data/raw/pdb_cache/1R2T.cif,https://files.rcsb.org/download/1R2T.cif,B,247,1
1VQU,cached_selected,data/raw/pdb_cache/1VQU.cif,https://files.rcsb.org/download/1VQU.cif,A,334,1
1MR3,cached_selected,data/raw/pdb_cache/1MR3.cif,https://files.rcsb.org/download/1MR3.cif,F,177,1
1Y44,cached_selected,data/raw/pdb_cache/1Y44.cif,https://files.rcsb.org/download/1Y44.cif,B,297,1
1YNA,cached_selected,data/raw/pdb_cache/1YNA.cif,https://files.rcsb.org/download/1YNA.cif,A,194,1
1H5Y,cached_selected,data/raw/pdb_cache/1H5Y.cif,https://files.rcsb.org/download/1H5Y.cif,B,253,1
1FKM,cached_selected,data/raw/pdb_cache/1FKM.cif,https://files.rcsb.org/download/1FKM.cif,A,322,1
1UFP,cached_selected,data/raw/pdb_cache/1UFP.cif,https://files.rcsb.org/download/1UFP.cif,A,154,1
1M2K,cached_selected,data/raw/pdb_cache/1M2K.cif,https://files.rcsb.org/download/1M2K.cif,A,249,1
1VYZ,cached_selected,data/raw/pdb_cache/1VYZ.cif,https://files.rcsb.org/download/1VYZ.cif,A,279,1
1QPJ,cached_selected,data/raw/pdb_cache/1QPJ.cif,https://files.rcsb.org/download/1QPJ.cif,A,266,1
1WU9,cached_selected,data/raw/pdb_cache/1WU9.cif,https://files.rcsb.org/download/1WU9.cif,B,67,1
2A14,cached_selected,data/raw/pdb_cache/2A14.cif,https://files.rcsb.org/download/2A14.cif,A,258,1
1SPJ,cached_selected,data/raw/pdb_cache/1SPJ.cif,https://files.rcsb.org/download/1SPJ.cif,A,238,1
1I6L,cached_selected,data/raw/pdb_cache/1I6L.cif,https://files.rcsb.org/download/1I6L.cif,A,327,1
1H4W,cached_selected,data/raw/pdb_cache/1H4W.cif,https://files.rcsb.org/download/1H4W.cif,A,225,1
1MU4,cached_selected,data/raw/pdb_cache/1MU4.cif,https://files.rcsb.org/download/1MU4.cif,B,87,1
1RHH,cached_selected,data/raw/pdb_cache/1RHH.cif,https://files.rcsb.org/download/1RHH.cif,B,233,1
1DJ8,cached_selected,data/raw/pdb_cache/1DJ8.cif,https://files.rcsb.org/download/1DJ8.cif,A,79,1
1SWD,cached_selected,data/raw/pdb_cache/1SWD.cif,https://files.rcsb.org/download/1SWD.cif,D,118,1
